"id","description","last_updated"
"2341109","Cheese, Brick","2022-10-03"
"2341110","Cheese, Camembert","2022-10-03"
"2341111","Cheese, Brie","2022-10-03"
"2341112","Cheese, Cheddar","2022-10-03"
"2341113","Cheese, Cheddar, reduced fat","2022-10-03"
"2341114","Cheese, Cheddar, nonfat or fat free","2022-10-03"
"2341115","Cheese, Colby","2022-10-03"
"2341116","Cheese, Colby Jack","2022-10-03"
"2341117","Cheese, Feta","2022-10-03"
"2341118","Cheese, Fontina","2022-10-03"
"2341119","Cheese, goat","2022-10-03"
"2341120","Cheese, Gouda or Edam","2022-10-03"
"2341121","Cheese, Gruyere","2022-10-03"
"2341122","Cheese, Limburger","2022-10-03"
"2341123","Cheese, Monterey","2022-10-03"
"2341124","Cheese, Monterey, reduced fat","2022-10-03"
"2341125","Cheese, Mozzarella, NFS","2022-10-03"
"2341126","Cheese, Mozzarella, part skim","2022-10-03"
"2341127","Cheese, Mozzarella, reduced sodium","2022-10-03"
"2341128","Cheese, Mozzarella, nonfat or fat free","2022-10-03"
"2341129","Cheese, Muenster","2022-10-03"
"2341130","Cheese, Muenster, reduced fat","2022-10-03"
"2341131","Cheese, Parmesan, dry grated","2022-10-03"
"2341132","Cheese, Parmesan, dry grated, reduced fat","2022-10-03"
"2341133","Cheese, Parmesan, hard","2022-10-03"
"2341134","Cheese, Parmesan, dry grated, fat free","2022-10-03"
"2341135","Cheese, Port du Salut","2022-10-03"
"2341136","Cheese, Provolone","2022-10-03"
"2341137","Cheese, provolone, reduced fat","2022-10-03"
"2341138","Cheese, Swiss","2022-10-03"
"2341139","Cheese, Swiss, reduced sodium","2022-10-03"
"2341140","Cheese, Swiss, reduced fat","2022-10-03"
"2341141","Cheese, Swiss, nonfat or fat free","2022-10-03"
"2341142","Cheese, Cheddar, reduced sodium","2022-10-03"
"2341143","Cheese, paneer","2022-10-03"
"2341144","Cheese, Mexican blend","2022-10-03"
"2341145","Cheese, Mexican blend, reduced fat","2022-10-03"
"2341146","Queso Anejo, aged Mexican cheese","2022-10-03"
"2341147","Queso Asadero","2022-10-03"
"2341148","Queso Fresco","2022-10-03"
"2341149","Queso cotija","2022-10-03"
"2341150","Cheese, cottage, NFS","2022-10-03"
"2341151","Cheese, cottage, creamed, large or small curd","2022-10-03"
"2341152","Cottage cheese, farmer's","2022-10-03"
"2341153","Cheese, Ricotta","2022-10-03"
"2341154","Cheese, cottage, with fruit","2022-10-03"
"2341155","Cheese, cottage, with vegetables","2022-10-03"
"2341156","Cheese, cottage, dry curd","2022-10-03"
"2341157","Cheese, cottage, salted, dry curd","2022-10-03"
"2341158","Puerto Rican white cheese","2022-10-03"
"2341159","Cheese, cottage, low fat","2022-10-03"
"2341160","Cheese, cottage, lowfat, with fruit","2022-10-03"
"2341161","Cheese, cottage, lowfat, low sodium","2022-10-03"
"2341162","Cheese, cottage, lowfat, lactose reduced","2022-10-03"
"2341163","Cream cheese, regular, plain","2022-10-03"
"2341164","Cream cheese, regular, flavored","2022-10-03"
"2341165","Cream cheese, light","2022-10-03"
"2341166","Cheese, American and Swiss blends","2022-10-03"
"2341167","Cheese, American","2022-10-03"
"2341168","Cheese, American, reduced fat","2022-10-03"
"2341169","Cheese, American, nonfat or fat free","2022-10-03"
"2341170","Cheese, American, reduced sodium","2022-10-03"
"2341171","Cheese spread, American or Cheddar cheese base, reduced fat","2022-10-03"
"2341172","Cream cheese spread, fat free","2022-10-03"
"2341173","Cheese, processed cheese food","2022-10-03"
"2341174","Cheese, processed, with vegetables","2022-10-03"
"2341175","Cheese,  with wine","2022-10-03"
"2341176","Cheese spread, American or Cheddar cheese base","2022-10-03"
"2341177","Cheese spread, Swiss cheese base","2022-10-03"
"2341178","Cheese spread, cream cheese, regular","2022-10-03"
"2341179","Cheese spread, cream cheese, light","2022-10-03"
"2341180","Cheese spread, pressurized can","2022-10-03"
"2341181","Imitation cheese","2022-10-03"
"2341182","Cheese, cottage cheese, with gelatin dessert","2022-10-03"
"2341183","Cheese, cottage cheese, with gelatin dessert and fruit","2022-10-03"
"2341184","Cheese, cottage cheese, with gelatin dessert and vegetables","2022-10-03"
"2341185","Cheese ball","2022-10-03"
"2341186","Artichoke dip","2022-10-03"
"2341187","Spinach and artichoke dip","2022-10-03"
"2341188","Seafood dip","2022-10-03"
"2341189","Cheese dip with chili pepper","2022-10-03"
"2341190","Cheese dip","2022-10-03"
"2341191","Topping from cheese pizza","2022-10-03"
"2341192","Topping from vegetable pizza","2022-10-03"
"2341193","Topping from meat pizza","2022-10-03"
"2341194","Topping from meat and vegetable pizza","2022-10-03"
"2341195","Cheese fondue","2022-10-03"
"2341196","Cheese souffle","2022-10-03"
"2341197","Welsh rarebit","2022-10-03"
"2341198","Cheese sandwich, NFS","2022-10-03"
"2341199","Cheese sandwich, American cheese, on white bread","2022-10-03"
"2341200","Cheese sandwich, American cheese, on wheat bread","2022-10-03"
"2341201","Cheese sandwich, cheddar cheese, on white bread","2022-10-03"
"2341202","Cheese sandwich, cheddar cheese, on wheat bread","2022-10-03"
"2341203","Cheese sandwich, reduced fat cheese, on white bread","2022-10-03"
"2341204","Cheese sandwich, reduced fat cheese, on wheat bread","2022-10-03"
"2341205","Grilled cheese sandwich, NFS","2022-10-03"
"2341206","Grilled cheese sandwich, American cheese, on white bread","2022-10-03"
"2341207","Grilled cheese sandwich, American cheese, on wheat bread","2022-10-03"
