"id","description","last_updated"
"2345013","Potato, baked, peel not eaten, with sour cream","2022-10-03"
"2345014","Potato, baked, peel not eaten, with cheese","2022-10-03"
"2345015","Potato, baked, peel not eaten, with meat","2022-10-03"
"2345016","Potato, baked, peel not eaten, with chili","2022-10-03"
"2345017","Potato, baked, peel not eaten, with vegetables","2022-10-03"
"2345018","Potato, baked, peel eaten","2022-10-03"
"2345019","Potato, baked, peel eaten, with butter","2022-10-03"
"2345020","Potato, baked, peel eaten, with sour cream","2022-10-03"
"2345021","Potato, baked, peel eaten, with cheese","2022-10-03"
"2345022","Potato, baked, peel eaten, with meat","2022-10-03"
"2345023","Potato, baked, peel eaten, with chili","2022-10-03"
"2345024","Potato, baked, peel eaten, with vegetables","2022-10-03"
"2345025","Potato salad with egg, from restaurant","2022-10-03"
"2345026","Potato salad with egg, made with mayonnaise","2022-10-03"
"2345027","Potato salad with egg, made with light mayonnaise","2022-10-03"
"2345028","Potato salad with egg, made with mayonnaise-type salad dressing","2022-10-03"
"2345029","Potato salad with egg, made with light mayonnaise-type salad dressing","2022-10-03"
"2345030","Potato salad with egg, made with creamy dressing","2022-10-03"
"2345031","Potato salad with egg, made with light creamy dressing","2022-10-03"
"2345032","Potato salad with egg, made with Italian dressing","2022-10-03"
"2345033","Potato salad with egg, made with light Italian dressing","2022-10-03"
"2345034","Potato salad with egg, made with any type of fat free dressing","2022-10-03"
"2345035","Potato salad, German style","2022-10-03"
"2345036","Potato salad, from restaurant","2022-10-03"
"2345037","Potato salad, made with mayonnaise","2022-10-03"
"2345038","Potato salad, made with light mayonnaise","2022-10-03"
"2345039","Potato salad, made with mayonnaise-type salad dressing","2022-10-03"
"2345040","Potato salad, made with light mayonnaise-type salad dressing","2022-10-03"
"2345041","Potato salad, made with creamy dressing","2022-10-03"
"2345042","Potato salad, made with light creamy dressing","2022-10-03"
"2345043","Potato salad, made with Italian dressing","2022-10-03"
"2345044","Potato salad, made with light Italian dressing","2022-10-03"
"2345045","Potato salad, made with any type of fat free dressing","2022-10-03"
"2345046","Potato pancake","2022-10-03"
"2345047","Lefse","2022-10-03"
"2345048","Stewed potatoes","2022-10-03"
"2345049","Stewed potatoes with tomatoes","2022-10-03"
"2345050","Potato soup, NS as to made with milk or water","2022-10-03"
"2345051","Potato soup, cream of, prepared with milk","2022-10-03"
"2345052","Potato soup, prepared with water","2022-10-03"
"2345053","Potato and cheese soup","2022-10-03"
"2345054","Potato chowder","2022-10-03"
"2345055","Plantain soup, Puerto Rican style","2022-10-03"
"2345056","Plantain, cooked, no added fat","2022-10-03"
"2345057","Plantain, cooked with oil","2022-10-03"
"2345058","Ripe plantain, raw","2022-10-03"
"2345059","Plantain, cooked, fat added, NS as to fat type","2022-10-03"
"2345060","Plantain, cooked with butter or margarine","2022-10-03"
"2345061","Plantain chips","2022-10-03"
"2345062","Green banana, cooked in salt water","2022-10-03"
"2345063","Green banana, fried","2022-10-03"
"2345064","Cassava, cooked","2022-10-03"
"2345065","Yuca fries","2022-10-03"
"2345066","Casabe, cassava bread","2022-10-03"
"2345067","Dasheen, cooked","2022-10-03"
"2345068","Taro, cooked","2022-10-03"
"2345069","Fufu","2022-10-03"
"2345070","Taro chips","2022-10-03"
"2345071","Beet greens, raw","2022-10-03"
"2345072","Beet greens, cooked","2022-10-03"
"2345073","Broccoli raab, raw","2022-10-03"
"2345074","Broccoli raab, cooked","2022-10-03"
"2345075","Chard, raw","2022-10-03"
"2345076","Chard, cooked","2022-10-03"
"2345077","Collards, raw","2022-10-03"
"2345078","Collards, fresh, cooked, no added fat","2022-10-03"
"2345079","Collards, frozen, cooked, no added fat","2022-10-03"
"2345080","Collards, canned, cooked, no added fat","2022-10-03"
"2345081","Collards, NS as to form, cooked","2022-10-03"
"2345082","Collards, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345083","Collards, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345084","Collards, fresh, cooked with oil","2022-10-03"
"2345085","Collards, fresh, cooked with butter or margarine","2022-10-03"
"2345086","Collards, frozen, cooked with oil","2022-10-03"
"2345087","Collards, frozen, cooked with butter or margarine","2022-10-03"
"2345088","Collards, canned, cooked with oil","2022-10-03"
"2345089","Collards, canned, cooked with butter or margarine","2022-10-03"
"2345090","Cress, raw","2022-10-03"
"2345091","Cress, cooked","2022-10-03"
"2345092","Dandelion greens, raw","2022-10-03"
"2345093","Dandelion greens, cooked","2022-10-03"
"2345094","Romaine lettuce, raw","2022-10-03"
"2345095","Caesar salad, with romaine, no dressing","2022-10-03"
"2345096","Escarole, cooked","2022-10-03"
"2345097","Greens, fresh, cooked, no added fat","2022-10-03"
"2345098","Greens, frozen, cooked, no added fat","2022-10-03"
"2345099","Greens, NS as to form, cooked","2022-10-03"
"2345100","Greens, fresh, cooked, fat added","2022-10-03"
"2345101","Greens, frozen, cooked, fat added","2022-10-03"
"2345102","Greens, canned, cooked, fat added","2022-10-03"
"2345103","Kale, raw","2022-10-03"
"2345104","Kale, fresh, cooked, no added fat","2022-10-03"
"2345105","Kale, frozen, cooked, no added fat","2022-10-03"
"2345106","Kale, canned, cooked, no added fat","2022-10-03"
"2345107","Kale, NS as to form, cooked","2022-10-03"
"2345108","Kale, fresh, cooked, fat added","2022-10-03"
"2345109","Kale, frozen, cooked, fat added","2022-10-03"
"2345110","Lambsquarter, cooked","2022-10-03"
"2345111","Mustard greens, raw","2022-10-03"
"2345112","Mustard greens, fresh, cooked, no added fat","2022-10-03"
"2345113","Mustard greens, frozen, cooked, no added fat","2022-10-03"
"2345114","Mustard greens, canned, cooked, no added fat","2022-10-03"
"2345115","Mustard greens, NS as to form, cooked","2022-10-03"
"2345116","Mustard greens, fresh, cooked, fat added","2022-10-03"
"2345117","Mustard greens, frozen, cooked, fat added","2022-10-03"
"2345118","Poke greens, cooked","2022-10-03"
"2345119","Radicchio, raw","2022-10-03"
"2345120","Spinach, raw","2022-10-03"
"2345121","Spinach, fresh, cooked, no added fat","2022-10-03"
"2345122","Spinach, frozen, cooked, no added fat","2022-10-03"
"2345123","Spinach, canned, cooked, no added fat","2022-10-03"
"2345124","Spinach, fresh, cooked with oil","2022-10-03"
"2345125","Spinach, fresh, cooked with butter or margarine","2022-10-03"
"2345126","Spinach, NS as to form, cooked","2022-10-03"
"2345127","Spinach, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345128","Spinach, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345129","Spinach, canned, cooked, fat added, NS as to fat type","2022-10-03"
"2345130","Spinach, frozen, cooked with oil","2022-10-03"
"2345131","Spinach, frozen, cooked with butter or margarine","2022-10-03"
"2345132","Spinach, canned, cooked with oil","2022-10-03"
"2345133","Spinach, canned, cooked with butter or margarine","2022-10-03"
"2345134","Spinach, creamed","2022-10-03"
"2345135","Spinach souffle","2022-10-03"
"2345136","Spinach and cheese casserole","2022-10-03"
"2345137","Palak Paneer","2022-10-03"
"2345138","Channa Saag","2022-10-03"
"2345139","Taro leaves, cooked","2022-10-03"
"2345140","Turnip greens, fresh, cooked, no added fat","2022-10-03"
"2345141","Turnip greens, frozen, cooked, no added fat","2022-10-03"
"2345142","Turnip greens, canned, cooked, no added fat","2022-10-03"
"2345143","Turrnip greens, NS as to form, cooked","2022-10-03"
"2345144","Turnip greens, fresh, cooked, fat added","2022-10-03"
"2345145","Turnip greens, frozen, cooked, fat added","2022-10-03"
"2345146","Turnip greens, canned, cooked, fat added","2022-10-03"
"2345147","Watercress, raw","2022-10-03"
"2345148","Watercress, cooked","2022-10-03"
"2345149","Bitter melon, horseradish, jute, or radish leaves, cooked","2022-10-03"
"2345150","Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked","2022-10-03"
"2345151","Broccoli, raw","2022-10-03"
"2345152","Broccoli, cooked, from restaurant","2022-10-03"
"2345153","Broccoli, fresh, cooked, no added fat","2022-10-03"
"2345154","Broccoli, frozen, cooked, no added fat","2022-10-03"
"2345155","Broccoli, NS as to form, cooked","2022-10-03"
"2345156","Broccoli, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345157","Broccoli, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345158","Broccoli, fresh, cooked with oil","2022-10-03"
"2345159","Broccoli, fresh, cooked with butter or margarine","2022-10-03"
"2345160","Broccoli, frozen, cooked with oil","2022-10-03"
"2345161","Broccoli, frozen, cooked with butter or margarine","2022-10-03"
"2345162","Broccoli casserole with noodles","2022-10-03"
"2345163","Broccoli casserole with rice","2022-10-03"
"2345164","Fried broccoli","2022-10-03"
"2345165","Broccoli, chinese, raw","2022-10-03"
"2345166","Broccoli, Chinese, cooked","2022-10-03"
"2345167","Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve","2022-10-03"
"2345168","Broccoli soup, prepared with water, home recipe, canned, or ready-to-serve","2022-10-03"
"2345169","Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve","2022-10-03"
"2345170","Spinach soup","2022-10-03"
"2345171","Dark-green leafy vegetable soup with meat, Asian style","2022-10-03"
"2345172","Dark-green leafy vegetable soup, meatless, Asian style","2022-10-03"
"2345173","Carrots, raw","2022-10-03"
"2345174","Carrots, raw, salad","2022-10-03"
"2345175","Carrots, raw, salad with apples","2022-10-03"
"2345176","Carrots, cooked, from restaurant","2022-10-03"
"2345177","Carrots, fresh, cooked, no added fat","2022-10-03"
"2345178","Carrots, frozen, cooked, no added fat","2022-10-03"
"2345179","Carrots, canned, cooked, no added fat","2022-10-03"
"2345180","Carrots, fresh, cooked with oil","2022-10-03"
"2345181","Carrots, fresh, cooked with butter or margarine","2022-10-03"
"2345182","Carrots, NS as to form, cooked","2022-10-03"
"2345183","Carrots, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345184","Carrots, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345185","Carrots, canned, cooked, fat added, NS as to fat type","2022-10-03"
"2345186","Carrots, frozen, cooked with oil","2022-10-03"
"2345187","Carrots, frozen, cooked with butter or margarine","2022-10-03"
"2345188","Carrots, canned, cooked with oil","2022-10-03"
"2345189","Carrots, canned, cooked with butter or margarine","2022-10-03"
"2345190","Carrots, glazed, cooked","2022-10-03"
"2345191","Carrots, canned, reduced sodium, cooked, no added fat","2022-10-03"
"2345192","Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type","2022-10-03"
"2345193","Carrots, canned, reduced sodium, cooked with oil","2022-10-03"
"2345194","Carrots, canned, reduced sodium, cooked with butter or margarine","2022-10-03"
"2345195","Beet juice","2022-10-03"
"2345196","Carrot juice, 100%","2022-10-03"
"2345197","Peas and carrots, fresh, cooked, no added fat","2022-10-03"
"2345198","Peas and carrots, frozen, cooked, no added fat","2022-10-03"
"2345199","Peas and carrots, canned, cooked, no added fat","2022-10-03"
"2345200","Peas and carrots, cooked, NS as to form","2022-10-03"
"2345201","Peas and carrots, fresh, cooked, fat added","2022-10-03"
"2345202","Peas and carrots, frozen, cooked, fat added","2022-10-03"
"2345203","Peas and carrots, canned, cooked, fat added","2022-10-03"
"2345204","Pumpkin, canned, cooked","2022-10-03"
"2345205","Pumpkin, cooked","2022-10-03"
"2345206","Winter squash, raw","2022-10-03"
"2345207","Winter squash, cooked, no added fat","2022-10-03"
"2345208","Winter squash, cooked, fat added","2022-10-03"
"2345209","Squash, winter, souffle","2022-10-03"
"2345210","Sweet potato, NFS","2022-10-03"
"2345211","Sweet potato, baked, NS as to fat","2022-10-03"
"2345212","Sweet potato, baked, no added fat","2022-10-03"
"2345213","Sweet potato, baked, fat added","2022-10-03"
"2345214","Sweet potato, boiled, NS as to fat","2022-10-03"
"2345215","Sweet potato, boiled, no added fat","2022-10-03"
"2345216","Sweet potato, boiled, fat added","2022-10-03"
"2345217","Sweet potato, candied","2022-10-03"
"2345218","Sweet potato, canned, NS as to fat","2022-10-03"
"2345219","Sweet potato, canned, no added fat","2022-10-03"
"2345220","Sweet potato, canned, fat added","2022-10-03"
"2345221","Sweet potato, casserole or mashed","2022-10-03"
"2345222","Sweet potato fries, NFS","2022-10-03"
"2345223","Sweet potato chips","2022-10-03"
"2345224","Sweet potato fries, frozen","2022-10-03"
"2345225","Sweet potato fries, from fresh","2022-10-03"
"2345226","Sweet potato fries, fast food / restaurant","2022-10-03"
"2345227","Sweet potato fries, school","2022-10-03"
"2345228","Sweet potato tots","2022-10-03"
"2345229","Sweet potato tots, fast food / restaurant","2022-10-03"
"2345230","Sweet potato tots, school","2022-10-03"
"2345231","Squash, winter type, soup, home recipe, canned, or ready-to-serve","2022-10-03"
"2345232","Tomatoes, raw","2022-10-03"
"2345233","Tomatoes, NS as to form, cooked","2022-10-03"
"2345234","Tomatoes, fresh, cooked","2022-10-03"
"2345235","Tomatoes, canned, cooked","2022-10-03"
"2345236","Tomatoes, scalloped","2022-10-03"
"2345237","Tomatoes, canned, reduced sodium, cooked","2022-10-03"
"2345238","Fried green tomatoes","2022-10-03"
"2345239","Tomato, green, pickled","2022-10-03"
"2345240","Sun-dried tomatoes","2022-10-03"
"2345241","Tomato juice, 100%","2022-10-03"
"2345242","Tomato juice, 100%, low sodium","2022-10-03"
"2345243","Tomato juice cocktail","2022-10-03"
"2345244","Tomato and vegetable juice, 100%","2022-10-03"
"2345245","Tomato and vegetable juice, 100%, low sodium","2022-10-03"
"2345246","Ketchup","2022-10-03"
"2345247","Ketchup, reduced sodium","2022-10-03"
"2345248","Tomato chili sauce","2022-10-03"
"2345249","Salsa, NFS","2022-10-03"
"2345250","Salsa, pico de gallo","2022-10-03"
"2345251","Salsa, red","2022-10-03"
"2345252","Salsa, red, homemade","2022-10-03"
"2345253","Taco sauce","2022-10-03"
"2345254","Enchilada sauce, red","2022-10-03"
"2345255","Enchilada sauce, green","2022-10-03"
"2345256","Salsa verde or salsa, green","2022-10-03"
"2345257","Hot Thai sauce","2022-10-03"
"2345258","Spaghetti sauce","2022-10-03"
"2345259","Spaghetti sauce with added vegetables","2022-10-03"
"2345260","Spaghetti sauce, reduced sodium","2022-10-03"
"2345261","Spaghetti sauce, fat free","2022-10-03"
"2345262","Vodka sauce with tomatoes and cream","2022-10-03"
"2345263","Barbecue sauce","2022-10-03"
"2345264","Buffalo sauce","2022-10-03"
"2345265","Steak sauce","2022-10-03"
"2345266","Cocktail sauce","2022-10-03"
"2345267","Puerto Rican seasoning with ham","2022-10-03"
"2345268","Puerto Rican seasoning with ham and tomato sauce","2022-10-03"
"2345269","Puerto Rican seasoning without ham and tomato sauce","2022-10-03"
"2345270","Tomato aspic","2022-10-03"
"2345271","Tomato and cucumber salad made with tomato, cucumber, oil, and vinegar","2022-10-03"
"2345272","Tomato soup, NFS","2022-10-03"
"2345273","Tomato soup, cream of, prepared with milk","2022-10-03"
"2345274","Tomato soup, prepared with water, or ready-to-serve","2022-10-03"
"2345275","Tomato soup, instant type, prepared with water","2022-10-03"
"2345276","Tomato soup, canned, reduced sodium, prepared with water, or ready-to-serve","2022-10-03"
"2345277","Tomato beef soup, prepared with water","2022-10-03"
"2345278","Tomato noodle soup, canned, prepared with water or ready-to-serve","2022-10-03"
"2345279","Tomato vegetable soup, prepared with water","2022-10-03"
"2345280","Tomato vegetable soup with noodles, prepared with water","2022-10-03"
"2345281","Tomato sandwich on white","2022-10-03"
"2345282","Tomato sandwich on wheat","2022-10-03"
"2345283","Raw vegetable, NFS","2022-10-03"
"2345284","Sprouts, NFS","2022-10-03"
"2345285","Alfalfa sprouts, raw","2022-10-03"
"2345286","Artichoke, raw","2022-10-03"
"2345287","Asparagus, raw","2022-10-03"
"2345288","Bean sprouts, raw","2022-10-03"
"2345289","Green beans, raw","2022-10-03"
"2345290","Beets, raw","2022-10-03"
"2345291","Broccoflower, raw","2022-10-03"
"2345292","Brussels sprouts, raw","2022-10-03"
"2345293","Cabbage, green, raw","2022-10-03"
"2345294","Cabbage, Chinese, raw","2022-10-03"
"2345295","Cabbage, red, raw","2022-10-03"
"2345296","Cactus, raw","2022-10-03"
"2345297","Cauliflower, raw","2022-10-03"
"2345298","Celery, raw","2022-10-03"
"2345299","Fennel bulb, raw","2022-10-03"
"2345300","Basil, raw","2022-10-03"
"2345301","Chives, raw","2022-10-03"
"2345302","Cilantro, raw","2022-10-03"
"2345303","Corn, raw","2022-10-03"
"2345304","Cucumber, raw","2022-10-03"
"2345305","Eggplant, raw","2022-10-03"
"2345306","Garlic, raw","2022-10-03"
"2345307","Jicama, raw","2022-10-03"
"2345308","Kohlrabi, raw","2022-10-03"
"2345309","Lettuce, raw","2022-10-03"
"2345310","Lettuce, Boston, raw","2022-10-03"
"2345311","Lettuce, arugula, raw","2022-10-03"
"2345312","Mixed salad greens, raw","2022-10-03"
"2345313","Mushrooms, raw","2022-10-03"
"2345314","Onions, green, raw","2022-10-03"
"2345315","Onions, raw","2022-10-03"
"2345316","Parsley, raw","2022-10-03"
"2345317","Green peas, raw","2022-10-03"
"2345318","Pepper, hot chili, raw","2022-10-03"
"2345319","Pepper, raw, NFS","2022-10-03"
"2345320","Pepper, sweet, green, raw","2022-10-03"
"2345321","Pepper, sweet, red, raw","2022-10-03"
"2345322","Pepper, banana, raw","2022-10-03"
"2345323","Radish, raw","2022-10-03"
"2345324","Rutabaga, raw","2022-10-03"
"2345325","Seaweed, raw","2022-10-03"
"2345326","Snowpeas, raw","2022-10-03"
"2345327","Summer squash, yellow, raw","2022-10-03"
"2345328","Summer squash, green, raw","2022-10-03"
"2345329","Turnip, raw","2022-10-03"
"2345330","Mixed vegetable juice","2022-10-03"
"2345331","Celery juice","2022-10-03"
"2345332","Broccoli salad with cauliflower, cheese, bacon bits, and dressing","2022-10-03"
"2345333","Broccoli slaw salad","2022-10-03"
"2345334","Coleslaw, fast food / restaurant","2022-10-03"
"2345335","Coleslaw","2022-10-03"
"2345336","Cabbage salad, NFS","2022-10-03"
"2345337","Coleslaw, with fruit","2022-10-03"
"2345338","Cucumber and vegetable namasu","2022-10-03"
"2345339","Cucumber salad, made with sour cream dressing","2022-10-03"
"2345340","Cucumber salad, made with Italian dressing","2022-10-03"
"2345341","Cucumber salad made with cucumber and vinegar","2022-10-03"
"2345342","Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing","2022-10-03"
"2345343","Lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing","2022-10-03"
"2345344","Lettuce, salad with avocado, tomato, and/or carrots, with or without other vegetables, no dressing","2022-10-03"
"2345345","Lettuce, salad with cheese, tomato and/or carrots, with or without other vegetables, no dressing","2022-10-03"
"2345346","Lettuce, salad with egg, tomato, and/or carrots, with or without other vegetables, no dressing","2022-10-03"
"2345347","Lettuce, salad with egg, cheese, tomato, and/or carrots, with or without other vegetables, no dressing","2022-10-03"
"2345348","Lettuce, wilted, with bacon dressing","2022-10-03"
"2345349","Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon","2022-10-03"
"2345350","Greek Salad, no dressing","2022-10-03"
"2345351","Spinach salad, no dressing","2022-10-03"
"2345352","Cobb salad, no dressing","2022-10-03"
"2345353","Aloe vera juice drink","2022-10-03"
"2345354","Artichoke, fresh, cooked, no added fat","2022-10-03"
"2345355","Artichoke, canned, cooked, no added fat","2022-10-03"
"2345356","Artichokes, NS as to form, cooked","2022-10-03"
"2345357","Asparagus, fresh, cooked, no added fat","2022-10-03"
"2345358","Asparagus, frozen, cooked, no added fat","2022-10-03"
"2345359","Asparagus, canned, cooked, no added fat","2022-10-03"
"2345360","Asparagus, NS as to form, cooked","2022-10-03"
"2345361","Asparagus, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345362","Asparagus, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345363","Asparagus, canned, cooked, fat added, NS as to fat type","2022-10-03"
"2345364","Asparagus, fresh, cooked with oil","2022-10-03"
"2345365","Asparagus, fresh, cooked with butter or margarine","2022-10-03"
"2345366","Asparagus, frozen, cooked with oil","2022-10-03"
"2345367","Asparagus, frozen, cooked with butter or margarine","2022-10-03"
"2345368","Asparagus, canned, cooked with oil","2022-10-03"
"2345369","Asparagus, canned, cooked with butter or margarine","2022-10-03"
"2345370","Bamboo shoots, cooked","2022-10-03"
"2345371","Lima beans, from frozen, no added fat","2022-10-03"
"2345372","Lima beans, from frozen, fat added","2022-10-03"
"2345373","Lima beans, from canned","2022-10-03"
"2345374","Green beans, cooked, from restaurant","2022-10-03"
"2345375","Green beans, fresh, cooked, no added fat","2022-10-03"
"2345376","Green beans, frozen, cooked, no added fat","2022-10-03"
"2345377","Green beans, canned, cooked, no added fat","2022-10-03"
"2345378","Green beans, NS as to form, cooked","2022-10-03"
"2345379","Green beans, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345380","Green beans, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345381","Green beans, canned, cooked, fat added, NS as to fat type","2022-10-03"
"2345382","Green beans, fresh, cooked with oil","2022-10-03"
"2345383","Green beans, fresh, cooked with butter or margarine","2022-10-03"
"2345384","Green beans, frozen, cooked with oil","2022-10-03"
"2345385","Green beans, frozen, cooked with butter or margarine","2022-10-03"
"2345386","Green beans, canned, cooked with oil","2022-10-03"
"2345387","Green beans, canned, cooked with butter or margarine","2022-10-03"
"2345388","Green beans, canned, reduced sodium, cooked, no added fat","2022-10-03"
"2345389","Green beans, canned, reduced sodium, cooked, fat added, NS as to fat type","2022-10-03"
"2345390","Green beans, canned, reduced sodium, cooked with oil","2022-10-03"
"2345391","Green beans, canned, reduced sodium, cooked with butter or margarine","2022-10-03"
"2345392","Fried green beans","2022-10-03"
"2345393","Yellow string beans, cooked","2022-10-03"
"2345394","Bean sprouts, cooked","2022-10-03"
"2345395","Beets, fresh, cooked, no added fat","2022-10-03"
"2345396","Beets, canned, cooked, no added fat","2022-10-03"
"2345397","Beets, NS as to form, cooked","2022-10-03"
"2345398","Beets, fresh, cooked, fat added","2022-10-03"
"2345399","Beets, canned, cooked, fat added","2022-10-03"
"2345400","Beets, canned, reduced sodium, cooked","2022-10-03"
"2345401","Bitter melon, cooked","2022-10-03"
"2345402","Breadfruit, cooked","2022-10-03"
"2345403","Broccoflower, cooked","2022-10-03"
"2345404","Brussels sprouts, fresh, cooked, no added fat","2022-10-03"
"2345405","Brussels sprouts, frozen, cooked, no added fat","2022-10-03"
"2345406","Brussels sprouts, NS as to form, cooked","2022-10-03"
"2345407","Brussels sprouts, fresh, cooked, fat added","2022-10-03"
"2345408","Brussels sprouts, frozen, cooked, fat added","2022-10-03"
"2345409","Burdock, cooked","2022-10-03"
"2345410","Cabbage, Chinese, cooked, no added fat","2022-10-03"
"2345411","Cabbage, Chinese, cooked, fat added","2022-10-03"
"2345412","Cabbage, green, cooked, no added fat","2022-10-03"
"2345413","Cabbage, green, cooked, fat added, NS as to fat type","2022-10-03"
"2345414","Cabbage, green, cooked with oil","2022-10-03"
"2345415","Cabbage, green, cooked with butter or margarine","2022-10-03"
"2345416","Cabbage, red, cooked","2022-10-03"
"2345417","Cabbage, savoy, cooked","2022-10-03"
"2345418","Cactus, cooked, no added fat","2022-10-03"
"2345419","Cactus, cooked, fat added","2022-10-03"
"2345420","Cauliflower, fresh, cooked, no added fat","2022-10-03"
"2345421","Cauliflower, frozen, cooked, no added fat","2022-10-03"
"2345422","Cauliflower, NS as to form, cooked","2022-10-03"
"2345423","Cauliflower, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345424","Cauliflower, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345425","Cauliflower, fresh, cooked with oil","2022-10-03"
"2345426","Cauliflower, fresh, cooked with butter or margarine","2022-10-03"
"2345427","Cauliflower, frozen, cooked with oil","2022-10-03"
"2345428","Cauliflower, frozen, cooked with butter or margarine","2022-10-03"
"2345429","Celery, cooked","2022-10-03"
"2345430","Fennel bulb, cooked","2022-10-03"
"2345431","Christophine, cooked","2022-10-03"
"2345432","Corn, cooked, from restaurant","2022-10-03"
"2345433","Corn, fresh, cooked, no added fat","2022-10-03"
"2345434","Corn, frozen, cooked, no added fat","2022-10-03"
"2345435","Corn, canned, cooked, no added fat","2022-10-03"
"2345436","Corn, NS as to form, cooked","2022-10-03"
"2345437","Corn, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345438","Corn, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345439","Corn, canned, cooked, fat added, NS as to fat type","2022-10-03"
"2345440","Corn, fresh, cooked with oil","2022-10-03"
"2345441","Corn, fresh, cooked with butter or margarine","2022-10-03"
"2345442","Corn, frozen, cooked with oil","2022-10-03"
"2345443","Corn, frozen, cooked with butter or margarine","2022-10-03"
"2345444","Corn, canned, cooked with oil","2022-10-03"
"2345445","Corn, canned, cooked with butter or margarine","2022-10-03"
"2345446","Corn, creamed","2022-10-03"
"2345447","Corn, canned, reduced sodium, cooked, no added fat","2022-10-03"
"2345448","Corn, canned, reduced sodium, cooked, fat added, NS as to fat type","2022-10-03"
"2345449","Corn, canned, reduced sodium, cooked with oil","2022-10-03"
"2345450","Corn, canned, reduced sodium, cooked with butter or margarine","2022-10-03"
"2345451","Cucumber, cooked","2022-10-03"
"2345452","Eggplant, cooked, no added fat","2022-10-03"
"2345453","Eggplant, cooked, fat added","2022-10-03"
"2345454","Flowers or blossoms of sesbania, squash, or lily, cooked","2022-10-03"
"2345455","Garlic, cooked","2022-10-03"
"2345456","Hominy, cooked","2022-10-03"
"2345457","Kohlrabi, cooked","2022-10-03"
"2345458","Leek, cooked","2022-10-03"
"2345459","Lotus root, cooked","2022-10-03"
"2345460","Mushrooms, fresh, cooked, no added fat","2022-10-03"
"2345461","Mushrooms, NS as to form, cooked","2022-10-03"
"2345462","Mushrooms, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345463","Mushrooms, canned, cooked","2022-10-03"
"2345464","Mushrooms, fresh, cooked with oil","2022-10-03"
"2345465","Mushrooms, fresh, cooked with butter or margarine","2022-10-03"
"2345466","Mushroom, Asian, cooked, from dried","2022-10-03"
"2345467","Okra, fresh, cooked, no added fat","2022-10-03"
"2345468","Okra, frozen, cooked, no added fat","2022-10-03"
"2345469","Okra, NS as to form, cooked","2022-10-03"
"2345470","Okra, fresh, cooked, fat added","2022-10-03"
"2345471","Okra, frozen, cooked, fat added","2022-10-03"
"2345472","Lettuce, cooked","2022-10-03"
"2345473","Onions, cooked, no added fat","2022-10-03"
"2345474","Onions, cooked, fat added","2022-10-03"
"2345475","Onions, pearl, cooked","2022-10-03"
"2345476","Onions, green, cooked","2022-10-03"
"2345477","Palm hearts, cooked","2022-10-03"
"2345478","Parsnips, cooked","2022-10-03"
"2345479","Blackeyed peas, from frozen","2022-10-03"
"2345480","Blackeyed peas, from canned","2022-10-03"
"2345481","Green peas, cooked, from restaurant","2022-10-03"
"2345482","Green peas, fresh, cooked, no added fat","2022-10-03"
"2345483","Green peas, frozen, cooked, no added fat","2022-10-03"
"2345484","Green peas, canned, cooked, no added fat","2022-10-03"
"2345485","Green peas, NS as to form, cooked","2022-10-03"
"2345486","Green peas, fresh, cooked, fat added, NS as to fat type","2022-10-03"
"2345487","Green peas, frozen, cooked, fat added, NS as to fat type","2022-10-03"
"2345488","Green peas, canned, cooked, fat added, NS as to fat type","2022-10-03"
"2345489","Green peas, fresh, cooked with oil","2022-10-03"
"2345490","Green peas, fresh, cooked with butter or margarine","2022-10-03"
"2345491","Green peas, frozen, cooked with oil","2022-10-03"
"2345492","Green peas, frozen, cooked with butter or margarine","2022-10-03"
"2345493","Green peas, canned, cooked with oil","2022-10-03"
"2345494","Green peas, canned, cooked with butter or margarine","2022-10-03"
"2345495","Green peas, canned, reduced sodium, cooked, no added fat","2022-10-03"
"2345496","Green peas, canned, reduced sodium, cooked, fat added, NS as to fat type","2022-10-03"
